player_id,name,team,clay_rank,clay_ppr,clay_games,carries,rush_yds,rush_td,targets,rec,rec_yds,rec_td,clay_target_share,clay_targ_pct,clay_yards_share
00-0038977,Tank Dell,HOU,72,105,17,8,45,0,60,38,462,3,0.1107,0.11,0.1139
00-0041511,Omar Cooper Jr.,NYJ,73,105,17,2,12,0,58,40,478,3,0.1094,0.11,0.1208
00-0033908,Cooper Kupp,SEA,74,102,17,0,0,0,57,38,472,3,0.1145,0.11,0.1148
00-0041044,Zachariah Branch,ATL,75,101,17,0,0,0,60,38,471,2,0.1107,0.11,0.117
00-0036309,Darnell Mooney,NYG,76,92,17,2,12,0,58,31,451,2,0.1151,0.11,0.1176
00-0037666,Jalen Tolbert,MIA,77,90,17,0,0,0,60,35,442,2,0.12,0.12,0.1192
00-0040727,Tre Harris,LAC,78,90,17,0,0,0,53,35,408,2,0.1,0.1,0.1022
00-0039410,Ryan Flournoy,DAL,79,90,17,2,12,0,51,34,384,3,0.0903,0.09,0.09
00-0041525,Chris Bell,MIA,80,89,17,0,0,0,55,34,449,2,0.11,0.11,0.1211
00-0036626,Dyami Brown,WAS,81,85,17,0,0,0,46,30,392,3,0.0893,0.09,0.0975
00-0035535,Darius Slayton,NYG,82,84,17,2,12,0,47,30,411,2,0.0933,0.09,0.1071
00-0040729,Jack Bech,LV,83,83,17,0,0,0,54,35,398,1,0.1007,0.1,0.1034
00-0040870,Ja'Kobi Lane,BAL,84,82,17,0,0,0,42,26,393,3,0.0917,0.09,0.0997
00-0037742,Treylon Burks,WAS,85,81,17,0,0,0,46,28,394,2,0.0893,0.09,0.098
00-0041523,Caleb Douglas,MIA,86,80,17,0,0,0,50,31,406,2,0.1,0.1,0.1095
00-0038608,Kayshon Boutte,NE,87,78,17,0,0,0,42,27,366,2,0.0816,0.08,0.087
00-0038104,Tyquan Thornton,KC,88,77,17,0,0,0,43,24,359,3,0.0792,0.08,0.0868
00-0038619,Andrei Iosivas,CIN,89,77,17,2,11,0,46,27,317,3,0.0804,0.08,0.074
00-0040138,Jaylin Noel,HOU,90,76,17,4,22,0,44,29,323,2,0.0812,0.08,0.0796
00-0037741,Jahan Dotson,ATL,91,75,17,0,0,0,49,29,358,2,0.0904,0.09,0.089
00-0040669,Isaac TeSlaa,DET,92,73,17,0,0,0,38,24,302,3,0.0713,0.07,0.0699
00-0040134,Pat Bryant,DEN,93,73,17,0,0,0,45,28,320,2,0.0795,0.08,0.0793
00-0040009,Savion Williams,GB,94,70,17,9,47,0,37,24,271,2,0.0706,0.07,0.0656
